texto;rotulo
"Assunto: Transferência de Custódia;Corpo: Estou trazendo meus ativos de outra corretora e preciso dos formulários para a transferência de custódia.";Produtivo
"Assunto: Erro na plataforma de Home Broker;Corpo: A plataforma está travando sempre que tento abrir o book de ofertas. Não consigo operar.";Produtivo
"Assunto: Relatório de Performance da Carteira;Corpo: Poderiam me enviar o relatório detalhado de performance da minha carteira consolidada em 2024?";Produtivo
"Assunto: Agradecimento;Corpo: Apenas para agradecer o excelente atendimento do meu assessor, o Ricardo. Muito obrigado pela paciência e clareza.";Improdutivo
"Assunto: Feliz Aniversário!;Corpo: Olá, passando para desejar um feliz aniversário para a Ana da mesa de operações! Tudo de bom.";Improdutivo
"Assunto: Re: Reunião de ontem;Corpo: Ciente. Obrigado pelo resumo da reunião.";Improdutivo
"Assunto: Confirmação de Leitura;Corpo: Este é um e-mail automático para confirmar que sua mensagem foi lida.";Improdutivo
"Assunto: Pesquisa de Satisfação;Corpo: Gostaríamos de saber como foi sua experiência com nosso atendimento. Por favor, responda nossa breve pesquisa.";Improdutivo
"Assunto: Oportunidade Imperdível de Investimento!;Corpo: Conheça o novo criptoativo que vai revolucionar o mercado! Invista agora e tenha retornos de até 500%!";Improdutivo
"Assunto: Vaga de Emprego - Venha ser nosso parceiro;Corpo: Estamos com uma oportunidade para a vaga de consultor de investimentos. Envie seu currículo.";Improdutivo
"Assunto: Convite para Webinar;Corpo: Participe do nosso webinar gratuito sobre as tendências do mercado para o próximo ano.";Improdutivo
"Assunto: Sua fatura de cartão de crédito chegou;Corpo: Olá, a fatura do seu cartão com vencimento em 10/10 já está disponível para consulta.";Improdutivo
"Assunto: AUSENTE DO ESCRITÓRIO;Corpo: Estarei fora do escritório até a próxima segunda-feira, com acesso limitado a e-mails.";Improdutivo
"Assunto: Parabéns pelos resultados!;Corpo: Queria parabenizar toda a equipe de gestão do fundo multimercado pelos excelentes resultados deste mês.";Improdutivo
"Assunto: Newsletter Semanal;Corpo: Confira os destaques da semana no mercado financeiro em nossa newsletter exclusiva.";Improdutivo
"Assunto: Spam Teste;Corpo: Viagra, cialis, promoções imperdíveis, ganhe dinheiro fácil.";Improdutivo
"Assunto: Olá;Corpo: Tudo bem?";Improdutivo
"Assunto: Curiosidade;Corpo: Qual o horário de funcionamento da agência?";Improdutivo
"Assunto: Pedido de cotação de seguro de vida;Corpo: Bom dia, gostaria de solicitar uma cotação para um seguro de vida no valor de R$ 1 milhão.";Produtivo
"Assunto: Problema com o token de segurança;Corpo: Meu token físico parou de funcionar, não consigo autorizar as transações. Como proceder para solicitar um novo?";Produtivo
"Assunto: Dúvidas sobre o IPO da Empresa X;Corpo: Quero participar da oferta pública inicial da Empresa X. Qual o prazo final para a reserva?";Produtivo
"Assunto: Relatório de Sustentabilidade (ESG);Corpo: Vocês poderiam me enviar o último relatório de sustentabilidade dos fundos ESG disponíveis?";Produtivo
"Assunto: Cadastro de conta para débito automático;Corpo: Quero cadastrar minha conta de energia em débito automático. Qual o procedimento pelo app?";Produtivo
"Assunto: Fechamento de Câmbio para Viagem;Corpo: Preciso comprar 5 mil dólares para uma viagem. Qual a cotação de hoje e como posso efetivar a operação?";Produtivo
"Assunto: Acesso à sala de análises ao vivo;Corpo: Sou cliente e gostaria de ter acesso à sala de análises ao vivo com os especialistas de mercado.";Produtivo
"Assunto: Meu perfil de investidor mudou;Corpo: Gostaria de refazer meu teste de perfil de investidor, pois minha tolerância a risco aumentou.";Produtivo
"Assunto: Pergunta sobre alocação de ativos;Corpo: Meu assessor sugeriu alocar 10% em ativos internacionais. Gostaria de entender melhor os riscos envolvidos.";Produtivo
"Assunto: Problema ao gerar DARF para pagamento;Corpo: A plataforma não está gerando a DARF para o pagamento de imposto sobre o lucro com ações. Podem ajudar?";Produtivo
"Assunto: Solicitação de extrato para Imposto de Renda;Corpo: Olá, necessito do extrato completo de 2023 para minha declaração de imposto de renda. Onde consigo?";Produtivo
"Assunto: Cancelamento de ordem agendada;Corpo: Por favor, cancelar a ordem de venda de VALE3 que estava agendada para hoje.";Produtivo
"Assunto: Dúvida sobre nota de corretagem;Corpo: Recebi minha nota de corretagem e não entendi o cálculo dos emolumentos. Podem me explicar?";Produtivo
"Assunto: Aumento de limite para operar alavancado;Corpo: Gostaria de solicitar um aumento do meu limite operacional para BMF.";Produtivo
"Assunto: Informações sobre fundos imobiliários (FIIs);Corpo: Quais são os melhores FIIs de tijolo para investir no momento, segundo a visão dos seus analistas?";Produtivo
"Assunto: Desbloqueio de senha de acesso;Corpo: Esqueci minha senha e minha conta foi bloqueada. Como faço para redefinir?";Produtivo
"Assunto: Obrigado pelo relatório!;Corpo: Apenas para confirmar o recebimento do relatório setorial. Muito obrigado, material excelente.";Improdutivo
"Assunto: Boas Festas!;Corpo: Passando para desejar a toda a equipe um ótimo final de ano e um 2025 de muito sucesso.";Improdutivo
"Assunto: Re: Follow-up;Corpo: Entendido. Manteremos o contato.";Improdutivo
"Assunto: Seu resumo de investimentos;Corpo: Olá! Preparamos um resumo com a evolução da sua carteira este mês. Confira!";Improdutivo
"Assunto: Fwd: Notícias interessantes;Corpo: Apenas compartilhando uma matéria que achei relevante para nossos investimentos.";Improdutivo
"Assunto: Black Friday de Investimentos;Corpo: Aproveite nossa semana de corretagem zero para investir em ações. Não perca!";Improdutivo
"Assunto: Vencedor do prêmio Top Gestores 2024;Corpo: É com orgulho que comunicamos que nosso fundo de ações foi eleito o melhor do ano pela revista ValorInveste.";Improdutivo
"Assunto: Alteração no horário de atendimento;Corpo: Informamos que na próxima sexta-feira nosso atendimento será encerrado às 14h.";Improdutivo
"Assunto: Compartilhamento de artigo;Corpo: Segue um artigo interessante sobre macroeconomia que li hoje.";Improdutivo
"Assunto: Seu gerente de conta mudou;Corpo: Comunicamos que a partir de hoje seu novo gerente de conta será o Sr. Fernando Lima.";Improdutivo
"Assunto: Fwd: Piada do dia;Corpo: Hahaha, achei essa muito boa!";Improdutivo
"Assunto: Convite para evento de clientes;Corpo: Gostaríamos de convidá-lo para nosso evento exclusivo para clientes Private no dia 20/11.";Improdutivo
"Assunto: Aviso de manutenção da plataforma;Corpo: Nossa plataforma passará por uma manutenção programada neste domingo, das 02h às 04h da manhã.";Improdutivo
"Assunto: Feliz Páscoa;Corpo: Desejamos a você e sua família uma Feliz Páscoa!";Improdutivo
"Assunto: Confirmação de agendamento;Corpo: Sua reunião com o assessor Carlos está confirmada para terça-feira às 15h.";Improdutivo
"Assunto: Como declarar seus investimentos?;Corpo: Preparamos um guia completo para te ajudar na sua declaração de imposto de renda. Acesse nosso blog.";Improdutivo
"Assunto: Dúvida sobre portabilidade de salário;Corpo: É possível fazer a portabilidade do meu salário para a conta de investimentos?";Produtivo
"Assunto: Problema na emissão de nota de corretagem;Corpo: Realizei uma operação ontem e a nota de corretagem ainda não está disponível no sistema.";Produtivo
"Assunto: Solicitação de TED;Corpo: Favor realizar uma TED no valor de 10.000 para a conta de mesma titularidade no Banco X, dados em anexo.";Produtivo
"Assunto: Aplicação programada;Corpo: Gostaria de programar uma aplicação mensal de R$ 1.000 no fundo de previdência. Como faço?";Produtivo
"Assunto: Perfil de risco desatualizado;Corpo: Recebi um aviso que meu perfil de investidor está desatualizado. Poderiam me enviar o link para refazer o teste?";Produtivo
"Assunto: Informações sobre COE;Corpo: Gostaria de entender melhor como funciona o Certificado de Operações Estruturadas e quais as opções disponíveis.";Produtivo
"Assunto: Erro ao tentar resgatar pontos do programa de fidelidade;Corpo: O site está dando erro quando tento resgatar meus pontos. Podem verificar?";Produtivo
"Assunto: Inclusão de dependente na conta;Corpo: Como faço para incluir minha esposa como dependente na minha conta de investimentos?";Produtivo
"Assunto: Dúvida sobre o app;Corpo: Onde encontro a funcionalidade de 'previsão de proventos' no novo aplicativo?";Produtivo
"Assunto: Transferência de R$ 5.000;Corpo: Bom dia, por favor, transferir R$ 5.000 para a conta do meu filho, dados seguem em anexo. É urgente.";Produtivo
"Assunto: Venda de Ativos;Corpo: Vender toda a minha posição em MGLU3 imediatamente, por favor.";Produtivo
"Assunto: Acesso ao relatório de research;Corpo: Não estou conseguindo baixar o último relatório da equipe de análise. O link parece estar quebrado.";Produtivo
"Assunto: Dúvida sobre aluguel de ações;Corpo: Gostaria de saber se minhas ações estão disponíveis para aluguel e como funciona a remuneração.";Produtivo
"Assunto: Problema técnico - gráfico não carrega;Corpo: O gráfico de rentabilidade da minha carteira não está carregando no portal web.";Produtivo
"Assunto: Reclamação sobre atendimento;Corpo: Gostaria de registrar uma reclamação sobre a demora no atendimento telefônico de hoje.";Produtivo
"Assunto: Obrigado;Corpo: Apenas para agradecer. Problema resolvido.";Improdutivo
"Assunto: Out of Office;Corpo: Estarei fora do escritório e retornarei na próxima semana. Para assuntos urgentes, contatar meu colega.";Improdutivo
"Assunto: Seu feedback é importante para nós;Corpo: Participe da nossa pesquisa anual e nos ajude a melhorar nossos serviços.";Improdutivo
"Assunto: Fwd: Oportunidade de negócio;Corpo: Achei que isso poderia te interessar.";Improdutivo
"Assunto: Convite para o Jantar de Gala;Corpo: Temos o prazer de convidá-lo para nosso jantar anual de confraternização.";Improdutivo
"Assunto: Comunicado de Imprensa;Corpo: A XPTO Investimentos anuncia aquisição da empresa ABC. Leia o comunicado na íntegra.";Improdutivo
"Assunto: Votos de um feliz Dia das Mães;Corpo: Desejamos a todas as mães um dia repleto de alegrias.";Improdutivo
"Assunto: Lembrete de senha;Corpo: Lembrete: sua senha irá expirar em 7 dias. Recomendamos a alteração.";Improdutivo
"Assunto: Endereço de e-mail alterado;Corpo: Este é um e-mail automático para informar que o endereço de e-mail da sua conta foi alterado com sucesso.";Improdutivo
"Assunto: Bem-vindo à nossa plataforma!;Corpo: Olá, seja bem-vindo! Estamos felizes em tê-lo conosco. Explore nossos recursos.";Improdutivo
"Assunto: Parabéns, João!;Corpo: Toda a equipe te deseja um feliz aniversário!";Improdutivo
"Assunto: Indique um amigo e ganhe benefícios;Corpo: Gostou dos nossos serviços? Indique um amigo e ambos ganham corretagem zero por um mês.";Improdutivo
"Assunto: Fwd: Vídeo engraçado;Corpo: Você precisa ver isso kkkk";Improdutivo
"Assunto: Confirmação de inscrição no evento;Corpo: Sua inscrição para o webinar 'Cenário Macroeconômico 2025' foi confirmada com sucesso.";Improdutivo
"Assunto: Atualização de Política de Privacidade;Corpo: Estamos atualizando nossa política de privacidade. Leia os novos termos.";Improdutivo
"Assunto: Acompanhe seu pedido;Corpo: Olá, seu novo cartão de crédito já foi enviado. Acompanhe a entrega pelo código de rastreio.";Improdutivo
"Assunto: Erro no cálculo do preço médio;Corpo: Olá, o preço médio das minhas ações de ITUB4 está sendo exibido incorretamente na plataforma. Poderiam recalcular?";Produtivo
"Assunto: Dúvida sobre subscrição de FII;Corpo: Recebi um e-mail sobre o direito de subscrição de um FII que possuo. Como faço para exercer esse direito?";Produtivo
"Assunto: Problema ao salvar 'minha carteira';Corpo: Criei uma carteira modelo no site, mas as alterações não estão sendo salvas. Toda vez que atualizo a página, ela volta ao estado anterior.";Produtivo
"Assunto: Liberação de saldo para investimento;Corpo: Fiz uma TED para a conta da corretora hoje de manhã e o saldo ainda não está liberado para operar. Houve algum problema?";Produtivo
"Assunto: Relatório de alocação de ativos;Corpo: O relatório de alocação de ativos está mostrando uma porcentagem incorreta para a classe de renda fixa.";Produtivo
"Assunto: Acesso multi-usuário para conta PJ;Corpo: Temos uma conta de pessoa jurídica e preciso cadastrar um novo sócio para ter acesso e operar. Qual o procedimento?";Produtivo
"Assunto: Pergunta sobre o mercado de opções;Corpo: Gostaria de saber se minha conta está habilitada para operar no mercado de opções e quais os riscos envolvidos.";Produtivo
"Assunto: Estorno de cobrança duplicada;Corpo: Verifiquei na minha fatura que a taxa de custódia foi cobrada duas vezes este mês. Solicito o estorno do valor duplicado.";Produtivo
"Assunto: Dúvida sobre o app de desktop;Corpo: A nova versão do aplicativo para desktop está muito lenta no meu computador. Há alguma configuração que eu possa ajustar para melhorar o desempenho?";Produtivo
"Assunto: Encaminhamento de comprovante;Corpo: Segue em anexo o comprovante de residência para a atualização cadastral que solicitei.";Produtivo
"Assunto: Cópia da gravação da chamada;Corpo: Gostaria de solicitar a gravação da minha última chamada com a mesa de operações, realizada hoje por volta das 11h.";Produtivo
"Assunto: Problema no login com certificado digital;Corpo: Não estou conseguindo acessar minha conta PJ utilizando o certificado digital. A página não reconhece o token.";Produtivo
"Assunto: Esclarecimento sobre nota de corretagem;Corpo: A nota de corretagem de ontem veio com o campo 'Líquido para' zerado. Isso está correto?";Produtivo
"Assunto: Alteração de assessor de investimentos;Corpo: Gostaria de solicitar a troca do meu assessor de investimentos. Com quem devo falar?";Produtivo
"Assunto: Bloqueio de valor em conta;Corpo: Há um valor bloqueado na minha conta com a descrição 'Garantia BMF'. Gostaria de entender o motivo.";Produtivo

